Relation type to GLP-1 RA,Entity type,,,,Nodes (Entity type)
ALTERNATIVE_TO, Ozempic,,,, Period
ALTERNATIVE_TO, Oz,,,, Overweight
ALTERNATIVE_TO, Victoza,,,, Taste Change
ALTERNATIVE_TO, Ozempic,,,, Sleep Issues
ALTERNATIVE_TO, Ozempic,,,, Stomach/Intestinal Pains
ALTERNATIVE_TO, Ozempic,,,, Menopause
ALTERNATIVE_TO, Oz,,,, Palpitations
AMOUNT_LOST, 34Kg/75Pounds,,,, Parents Death
AMOUNT_LOST, 34Kg/75Pounds,,,, Child Issues
APPOINTMENT, Gi,,,, Long Haul
APPOINTMENT, Gi,,,, Abdominal Cramps
APPROVED, 30Kg Weight Loss,,,, Passive Suicidal Ideation
APPROVED, Ozempic,,,, Upper Abdomen Pain
APPROVED, 30Kg Weight Loss,,,, Lightheaded
APPROVED, Ozempic,,,, Foggy
APPROVED_FOR, Weightloss,,,, Cold
APPROVED_FOR, Weightloss,,,,USED_FOR
APPROVED_FOR, Weightloss,,,, 16 Weeks
APPROVED_FOR, Weightloss,,,, Thursday
APPROVED_IN, Uk,,,, Sideeffects
APPROVED_IN, Uk,,,, Satiation_Issue
APPROVED_IN, Uk,,,, Distendedstomach
APPROVED_IN, Uk,,,, Fear Of Injecting
APPROVES, Trulicity,,,, Anxiety Episodes
APPROVES, Medications,,,, Stress
APPROVES, Ozempic,,,, Tachycardic_Episode
APPROVES, Trulicity,,,, Nightmares
APPROVES, Medications,,,, Extreme Fatigue
APPROVES, Ozempic,,,, Itchiness
ASKED, Pharmacist,,,, Tingling
ASKED, Pharmacist,,,, Insecurity
ASSISTED, Dizziness,,,, Ozempic 0.5Mg
ASSISTED, Dizziness,,,, Lethargy
ASSISTED_WITH, Ozempic,,,, Lack Of Energy
ASSISTED_WITH, Ozempic,,,, Insurance Issue
ASSISTING_WITH, Weight Loss,,,, Back Pain
ASSISTING_WITH, Weight Loss,,,, Diet Change
ASSISTS_WITH, Weight Loss,,,, Divorce
ASSISTS_WITH, Weight Loss,,,, Pep
ASSOCIATED_WITH, Migraines,,,, 2 Lbs
ASSOCIATED_WITH, Weight_Loss,,,, Me
ASSOCIATED_WITH, 15 Pounds,,,, Insanity
ASSOCIATED_WITH, Adhd,,,, Canada
ASSOCIATED_WITH, 26Lbs,,,, Nutrition & Health
ASSOCIATED_WITH, Hair Loss,,,, Recovery
ASSOCIATED_WITH, Nausea,,,, 0.5 Mg Dose
ASSOCIATED_WITH, Sweets Cravings,,,, Macros
ASSOCIATED_WITH, Ozempic,,,, Keto Diet
ASSOCIATED_WITH, Ozempic,,,, Calibrate
ASSOCIATED_WITH, Pharmacy,,,, High Protein
ASSOCIATED_WITH, Migraines,,,, Gallbladder
ASSOCIATED_WITH, Dehydration,,,,227
ASSOCIATED_WITH, Bmi,,,, 1_Mg_Dose
STABLE_WITH, Ozempic,,,, First Child
ASSOCIATED_WITH, Ozempic,,,, Portion Sizes
ASSOCIATED_WITH, Ozempic,,,,10
ASSOCIATED_WITH, Food Poisoning,,,, 125 Lbs
ASSOCIATED_WITH, 0.5Mg,,,, 295Lbs
ASSOCIATED_WITH, Nausea,,,, 1.5 Months
ASSOCIATED_WITH, Ulcers,,,, Labs
ASSOCIATED_WITH, Ozempic,,,, Ct Scan
ASSOCIATED_WITH, Bloating,,,, Fridge
ASSOCIATED_WITH, High Activity Level,,,, Boxes
ASSOCIATED_WITH, Bloating,,,, Age
ASSOCIATED_WITH, Burping,,,, Phobia Of Throwing Up
ASSOCIATED_WITH, Lower Back Pain,,,, Energy
ASSOCIATED_WITH, Diarrhea,,,, Sedentary Job
ASSOCIATED_WITH, Sweating,,,, Bmi 33
ASSOCIATED_WITH, Migraines,,,, 5'10
ASSOCIATED_WITH, Weight_Loss,,,, Weight 230Lbs
ASSOCIATED_WITH, 15 Pounds,,,, Low Testosterone
ASSOCIATED_WITH, Adhd,,,, Bitchy Mood
ASSOCIATED_WITH, 26Lbs,,,, 3 Or 4 Pounds Lost
ASSOCIATED_WITH, Hair Loss,,,, Testosterone 164
ASSOCIATED_WITH, Nausea,,,, Disordered_Eating
ASSOCIATED_WITH, Sweets Cravings,,,, 2 Kids
ASSOCIATED_WITH, Ozempic,,,, Mechanism Of Action
ASSOCIATED_WITH, Ozempic,,,, 5’7
ASSOCIATED_WITH, Pharmacy,,,, Bmi 29
ASSOCIATED_WITH, Migraines,,,, Occupation
ASSOCIATED_WITH, Dehydration,,,, 180 Lbs
ASSOCIATED_WITH, Bmi,,,, 150 Lbs
ASSOCIATED_WITH, Ozempic,,,, Insulin_Resistance
ASSOCIATED_WITH, Ozempic,,,, 28 Years Old
ASSOCIATED_WITH, Food Poisoning,,,, 29 Years Old
ASSOCIATED_WITH, 0.5Mg,,,, 41.3 Kg
ASSOCIATED_WITH, Nausea,,,, 91 Pounds
ASSOCIATED_WITH, Ulcers,,,, 5 Week Break
ASSOCIATED_WITH, Ozempic,,,, Comorbidity
ASSOCIATED_WITH, Bloating,,,, 5'6
ASSOCIATED_WITH, High Activity Level,,,, Body Weight
ASSOCIATED_WITH, Bloating,,,, Muscle Base
ASSOCIATED_WITH, Burping,,,, Size 16
ASSOCIATED_WITH, Lower Back Pain,,,, 240 Lbs
ASSOCIATED_WITH, Diarrhea,,,, Non Diabetic
ASSOCIATED_WITH, Sweating,,,, High Male Hormones
ASSOCIATED_WITH_SYMPTOM, Dizziness,,,, Insulin Resistant
ASSOCIATED_WITH_SYMPTOM, Dizziness,,,, Perimenopause
ASSOCIATED_WITH_SYMPTOM, Fatigue,,,, T2 Diabetes
ASSOCIATED_WITH_SYMPTOM, Dizziness,,,, Autism
ASSOCIATED_WITH_SYMPTOM, Dizziness,,,, Arfid
ASSOCIATED_WITH_SYMPTOM, Fatigue,,,, T1D
ASSOCIATED_WITH_WEIGHT_LOSS, 15 Lbs,,,, Type 2 Diabetes
ASSOCIATED_WITH_WEIGHT_LOSS, 15 Lbs,,,, Insurance Issues
ASSUMED_TO_BE, Gardia Infection,,,, Clinical Depression
ASSUMED_TO_BE, Gardia Infection,,,, General Anxiety Disorder
ASSUMES_LOCATION, Gall_Bladder_Pain,,,, Gestational Diabetes
ASSUMES_LOCATION, Gall_Bladder_Pain,,,, Post
ATTEMPT_TO_MANAGE, Constipation,,,, Tachy_Arrhythmia
ATTEMPT_TO_MANAGE, Constipation,,,, Vt
ATTEMPT_TO_MANAGE, Constipation,,,, Pcos W/ Insulin Resistance
ATTEMPT_TO_MANAGE, Constipation,,,, Weight_Issues
ATTEMPT_TO_MANAGE, Constipation,,,, Arthritis
ATTEMPT_TO_MANAGE, Constipation,,,, Ankle_Issue
ATTEMPTED, Weight Loss,,,, Slow_Metabolism
ATTEMPTED, Weight Loss,,,, Hypo_Thyroid
ATTEMPTED, Weight Loss,,,, Asthma
ATTEMPTED, Weight Loss,,,, Hashimoto'S
ATTEMPTED_CONTROL, Gerd,,,, Depressive Episodes
ATTEMPTED_CONTROL, Gerd,,,, Peri_Menopausal
ATTEMPTED_TO_RELIEVE, Constipation,,,, Knee Injury
ATTEMPTED_TO_RELIEVE, Constipation,,,, Chronic Pain
ATTEMPTED_TO_RELIEVE, Constipation,,,, Currentweight
ATTEMPTED_TO_RELIEVE, Constipation,,,, Caloric Intake
ATTENDED, Hospital Visit,,,, Pcp
ATTENDED, Hospital Visit,,,, 1Mg Dosage
ATTENDING_WITH, Guy,,,, 1Mg Ozempic
ATTENDING_WITH, Guy,,,, 0.25Mg Ozempic
AUTOSHIP, Oz,,,, 0.5Mg Ozempic
AUTOSHIP, Oz,,,, .50 Dosage
AVAILABLE_AT, Cvs,,,, .25 Dosage
AVAILABLE_AT, Cvs,,,, Dose
AVAILABLE_IN, Australia,,,, .50 Mg
AVAILABLE_IN, Ozempic,,,, 0.25 Mg
AVAILABLE_IN, Ozempic,,,, 1.0 Mg
AVAILABLE_IN, Marketplace Insurance,,,, .50Mg
AVAILABLE_IN, Australia,,,, 1.5Mg
AVAILABLE_IN, Ozempic,,,,2
AVAILABLE_IN, Ozempic,,,, 2Mg
AVAILABLE_IN, Marketplace Insurance,,,, 0.5 Mg
AVOIDED, Orange Juice,,,, 2 Mg Dose
AVOIDED, Orange Juice,,,, 1 Mg/Week
BECAME, Crutch,,,, 0.75 Mg
BECAME, Crutch,,,, 0.5_Dose
BENEFITED_FROM, Ozempic,,,, 1Mg Dose
BENEFITED_FROM, Ozempic,,,, Larger Pen
BIRTHDAY_CELEBRATION, Birthday,,,, Smaller Dose
BIRTHDAY_CELEBRATION, Birthday,,,, 0.07Mg
BLOCKS, Ozempic,,,, 2Mg Dose
BLOCKS, Ozempic,,,, 0.50Mg
BLOOD_PRESSURE_MEDICATION_DOSAGE, 54 Year Old Male,,,, 0.75Mg
BLOOD_PRESSURE_MEDICATION_DOSAGE, 54 Year Old Male,,,, 1.00Mg
BOOSTS, Ozempic,,,, Two Months
BOOSTS, Ozempic,,,, Weeks
CALORIES_BURNED, 18K Calories,,,, 7 Weeks
CALORIES_BURNED, 18K Calories,,,, 2Mg_Per_Week
CAN_FAST_FOR, 3 Days,,,, Rebounding Hunger
CAN_FAST_FOR, 3 Days,,,, Inflammation
CAN_INTERMITTENT_FAST, 16:8,,,, 10 Inches Of Empty Shirt
CAN_INTERMITTENT_FAST, 16:8,,,, Farewell
CAN_TRIGGER, Panic_Attack,,,, Twice A Day
CAN_TRIGGER, Panic_Attack,,,, Female
CANCEL, Hospitalization,,,,123
CANCEL, Hospitalization,,,, 2_Stone
CANCELLED, Thanksgiving Dinner,,,, Need To Lose More Weight
CANCELLED, Thanksgiving Dinner,,,, Go Back To The Gym
CAUSE, Financial_Hit,,,, Goalweight
CAUSE, Financial_Hit,,,, High Cholesterol
CAUSED, Weight Loss,,,, Hypertensive
CAUSED, Side Effects,,,, Height
CAUSED, Nausea,,,, 177Cm
CAUSED, Migraines,,,," 5""4"
CAUSED, Weight_Loss,,,," 6'3"""
CAUSED, Diarrhea,,,,5.90%
CAUSED, Vomiting,,,,56.1
CAUSED, Constipation,,,, Insurancecompany
CAUSED, Joint_Pain,,,, Shortages
CAUSED, Water_Retention,,,, Weightlossjourney
CAUSED, Swollen_Legs,,,, Https://Flic.Kr/P/2Oicfvm
CAUSED, Pain,,,, Slow While In A Deficit
CAUSED, Weight_Gain,,,, Dosage Options
CAUSED, Nauseous,,,, Slow
CAUSED, Migraine,,,, Increasing
CAUSED, Dehydration,,,, High Fat Content
CAUSED, Side_Effects,,,, Np
CAUSED, Heart Palpitations,,,,130
CAUSED, Brain Fog,,,, Burping_Problem
CAUSED, Fatigue,,,, Burps
CAUSED, Acid Reflux,,,, Wonky Feeling In Head
CAUSED, Heartburn,,,, Gym
CAUSED, Anxiety,,,, Horrific Side Effects
CAUSED, Depression,,,, Stomach
CAUSED, Stomach_Issues,,,, Startingweight
CAUSED, Exhaustion,,,, Starting Weight
CAUSED, Acid_Reflux,,,, Stomach Problems
CAUSED, Sulfur_Burps,,,, Itchy Skin
CAUSED, Paranoia,,,, Flaky Skin
CAUSED, Rapid_Heartbeat,,,, Dry Skin
CAUSED, Burping,,,, Severe Headache
CAUSED, Tiredness,,,, Stomach_Pain
CAUSED, Discomfort,,,, Thanksgiving
CAUSED, Feverish,,,, Broken Blood Vessels
CAUSED, Mental Clarity,,,,11.7
CAUSED, Irritability,,,,5.3
CAUSED, Malaise,,,,29
CAUSED, Weakness,,,, 52.9 Kg
CAUSED, Appetite Suppression,,,, 116.5 Pounds
CAUSED, Gas_Pains,,,,1900
CAUSED, Mild Symptoms From Ozempic,,,, 108.5 Kg
CAUSED, Gi Bugs,,,, 108.4 Kg
CAUSED, Stomach Hurting,,,, 106.6 Kg
CAUSED, Starving,,,, 105.2 Kg
CAUSED, Sickness,,,, 104.5 Kg
CAUSED, Weight_Gain,,,, 103.1 Kg
CAUSED, Seasonal_Depression,,,, 102.2 Kg
CAUSED, Depression,,,, 102.0 Kg
CAUSED, Nausea,,,, 101.1 Kg
CAUSED, Fatigue,,,, 99.2 Kg
CAUSED, Miserable Feelings,,,, 98.2 Kg
CAUSED, Suicidal Thoughts,,,, 98.1 Kg
CAUSED, Bad Egg Burps,,,, 97.5 Kg
CAUSED, Digestive System Rebellion,,,, 96.3 Kg
CAUSED, Weight_Loss,,,, 95.6 Kg
CAUSED, Appetite_Suppression,,,, 95.3 Kg
CAUSED, Reaction,,,, 94.7 Kg
CAUSED, Diarrhea,,,, 93.9 Kg
CAUSED, Exhaustion,,,, 93.1 Kg
CAUSED, Bad Side Effects,,,, 92.7 Kg
CAUSED, Vertigo,,,, 92.2 Kg
CAUSED, Tachycardia,,,, 92.0 Kg
CAUSED, Tachycardia,,,, 91.5 Kg
CAUSED, Symptoms,,,, Hr
CAUSED, Nausea,,,, Bp
CAUSED, Anxiety,,,, Novocare.Com
CAUSED, Weight_Gain,,,, Weight_Initial
CAUSED, 45 Pounds Weight Gain,,,, Weight_Second
CAUSED, Nausea,,,, 144.0 Kg
CAUSED, Vomiting,,,, 142.2 Kg
CAUSED, Sick,,,, 140.2 Kg
CAUSED, Nausea,,,, 139.8 Kg
CAUSED, Symptomatic E.Coli,,,, 138.4 Kg
CAUSED, Gi Bugs,,,, 137.4 Kg
CAUSED, Weight Loss,,,, 135.4 Kg
CAUSED, Side Effects,,,, 133.1 Kg
CAUSED, Nausea,,,, 131.9 Kg
CAUSED, Migraines,,,, 131.8 Kg
CAUSED, Weight_Loss,,,, 130.7 Kg
CAUSED, Diarrhea,,,, 129.3 Kg
CAUSED, Vomiting,,,, 127.8 Kg
CAUSED, Constipation,,,, 125.1 Kg
CAUSED, Joint_Pain,,,, 124.3 Kg
CAUSED, Water_Retention,,,, 123.9 Kg
CAUSED, Swollen_Legs,,,, 121.5 Kg
CAUSED, Pain,,,, 121.3 Kg
CAUSED, Weight_Gain,,,, 120.4 Kg
CAUSED, Nauseous,,,, 118.7 Kg
CAUSED, Migraine,,,, 117.8 Kg
CAUSED, Dehydration,,,, 117.0 Kg
CAUSED, Side_Effects,,,, 115.6 Kg
CAUSED, Heart Palpitations,,,, 115.2 Kg
CAUSED, Brain Fog,,,, 113.7 Kg
CAUSED, Fatigue,,,, 112.7 Kg
CAUSED, Acid Reflux,,,, 112.4 Kg
CAUSED, Heartburn,,,, 110.8 Kg
CAUSED, Anxiety,,,, 110.1 Kg
CAUSED, Depression,,,, Weight After Stopping Ozempic
CAUSED, Stomach_Issues,,,, Weight After Ozempic
CAUSED, Exhaustion,,,, 198.9Lbs
CAUSED, Acid_Reflux,,,, 20 Pounds
CAUSED, Sulfur_Burps,,,, 31.7 Kg
CAUSED, Paranoia,,,, 70 Pounds
CAUSED, Rapid_Heartbeat,,,, 60 Lb Weight Loss
CAUSED, Burping,,,, Pre Diabetic
CAUSED, Tiredness,,,, Triglycerides
CAUSED, Discomfort,,,, Hypertension
CAUSED, Feverish,,,, Health Condition
CAUSED, Mental Clarity,,,, 180Cm
CAUSED, Irritability,,,, Anxiety Attacks
CAUSED, Malaise,,,, Pcos Symptoms
CAUSED, Weakness,,,, Blood Sugars
CAUSED, Appetite Suppression,,,, Overeating Ed
CAUSED, Gas_Pains,,,, Hunger Pangs
CAUSED, Mild Symptoms From Ozempic,,,, Laxatives
CAUSED, Gi Bugs,,,, Optimal Weight
CAUSED, Stomach Hurting,,,, Binge_Eating
CAUSED, Starving,,,, Holidays
CAUSED, Sickness,,,, 5% More Exercise
CAUSED, Weight_Gain,,,, A1C Results
CAUSED, Seasonal_Depression,,,, Family
CAUSED, Depression,,,, Healthy_Stool
CAUSED, Nausea,,,, Health_Results
CAUSED, Fatigue,,,, Physical_Results
CAUSED, Miserable Feelings,,,, Normal Bp And Heart Rate
CAUSED, Suicidal Thoughts,,,, Improved Anxiety And Shortness Of Breath
CAUSED, Bad Egg Burps,,,, Normal Bowel Function
CAUSED, Digestive System Rebellion,,,,PRESCRIBED
CAUSED, Weight_Loss,,,, Significant_Other
CAUSED, Appetite_Suppression,,,, Passing Out
CAUSED, Reaction,,,, Tummy Gurgle
CAUSED, Diarrhea,,,, Diet And Exercise
CAUSED, Exhaustion,,,, Blood_Work
CAUSED, Bad Side Effects,,,, Camera Scope
CAUSED, Vertigo,,,, Bile Drainage
CAUSED, Tachycardia,,,, Bloat
CAUSED, Tachycardia,,,, Truvada
CAUSED, Symptoms,,,, Raltegravir
CAUSED, Nausea,,,, Dystonia
CAUSED, Anxiety,,,, Shortness Of Breath
CAUSED, Weight_Gain,,,, Face And Neck Tingling/Numbness
CAUSED, 45 Pounds Weight Gain,,,, High Blood Pressure
CAUSED, Nausea,,,, Glucose Ser/Plasma Interface External
CAUSED, Vomiting,,,, Program
CAUSED, Sick,,,, Ham&Cheese Sandwich
CAUSED, Nausea,,,, Stew
CAUSED, Symptomatic E.Coli,,,, Ct_Scan
CAUSED, Gi Bugs,,,, Tests
CAUSED_AWARENESS, Joint_Pain,,,, Proper_Nutrition
CAUSED_AWARENESS, Joint_Pain,,,, Relationship_With_Food
CAUSED_BY, Side Effects,,,, Green Bean Casserole
CAUSED_BY, Sickness,,,, Sweet Potatoes
CAUSED_BY, Sulphur Burps,,,, Stuffing
CAUSED_BY, Diarrhoea,,,, Gravy
CAUSED_BY, Stomach Cramps,,,, Pumpkin Pie
CAUSED_BY, Nausea,,,, Cranberry Sauce
CAUSED_BY, Weight_Loss,,,, Rolls
CAUSED_BY, Diarrhea,,,, January
CAUSED_BY, Dizziness,,,,6
CAUSED_BY, Gas,,,,November 2022
CAUSED_BY, Fatigue,,,, Confidence
CAUSED_BY, Tiredness,,,, Physical Ability
CAUSED_BY, Body_Rejection,,,, Dosage_0.50
CAUSED_BY, Crying Spells,,,, Dosage_1Mg
CAUSED_BY, Weakness,,,, Dosage_1.7Mg
CAUSED_BY, Extreme Pain,,,, Hypothyroidism
CAUSED_BY, Explosive Diarrhea,,,, Food_Aversion
CAUSED_BY, Bed,,,, Snacking
CAUSED_BY, Side Effects,,,, Better_Habits
CAUSED_BY, Nausea,,,, July
CAUSED_BY, Vomiting,,,, Left Thigh
CAUSED_BY, Side Effects,,,, Amazon Pharmacy
CAUSED_BY, Sulphur Burps,,,, Optumrx
CAUSED_BY, Nausea,,,, Md
CAUSED_BY, Vomiting,,,, Qmhp
CAUSED_BY, Constipation,,,, 2_Week_Break
CAUSED_BY, Heartburn,,,, Vegas_Trip
CAUSED_BY, Stomach Pain,,,, Helpfulness
CAUSED_BY, Extreme Bloating,,,, Inflatable Balloon
CAUSED_BY, Anxiety,,,, Marines
CAUSED_BY, Nausea,,,, 2_Weeks
CAUSED_BY, Nausea,,,,2014
CAUSED_BY, Whole Body Aches,,,,December 12
CAUSED_BY, Side Effects,,,, July 26Th
CAUSED_BY, Panic Attack,,,, Wednesday
CAUSED_BY, Panic Attack,,,, Memory Improvement
CAUSED_BY, Panic Attack,,,, Mood Improvement
CAUSED_BY, Side Effects,,,, Diet
CAUSED_BY, Exhaustion,,,, Regrowth
CAUSED_BY, Discouragement,,,, Qysmia
CAUSED_BY, Stomach_Pains,,,, Portion_Control
CAUSED_BY, Anxiety,,,, Er_Visit
CAUSED_BY, Ozempic,,,, Obese Category
CAUSED_BY, Side Effects,,,, Life Or Death
CAUSED_BY, Sickness,,,, 6_Weeks
CAUSED_BY, Sulphur Burps,,,, Financial_Constraints
CAUSED_BY, Diarrhoea,,,, Chocolate
CAUSED_BY, Stomach Cramps,,,, Meal
CAUSED_BY, Nausea,,,, Toe Cramps
CAUSED_BY, Weight_Loss,,,, Foot Cramps
CAUSED_BY, Diarrhea,,,, Calf Cramps
CAUSED_BY, Dizziness,,,, Appendicitis
CAUSED_BY, Gas,,,, 27F
CAUSED_BY, Fatigue,,,, Sunlife Insurance
CAUSED_BY, Tiredness,,,, Netherlands
CAUSED_BY, Body_Rejection,,,, Umbilical Region
CAUSED_BY, Crying Spells,,,, Epigastric Region
CAUSED_BY, Weakness,,,, Inner Elbow
CAUSED_BY, Extreme Pain,,,, Fort Myers
CAUSED_BY, Explosive Diarrhea,,,, Toilet
CAUSED_BY, Bed,,,, Trip To California
CAUSED_BY, Side Effects,,,, 60Lbs
CAUSED_BY, Nausea,,,, 47Lbs
CAUSED_BY, Vomiting,,,, 100 Pounds
CAUSED_BY, Side Effects,,,, 10 Months
CAUSED_BY, Sulphur Burps,,,,192
CAUSED_BY, Nausea,,,,174
CAUSED_BY, Vomiting,,,, 8 Years
CAUSED_BY, Constipation,,,, Binge Eating
CAUSED_BY, Heartburn,,,, Mucus
CAUSED_BY, Stomach Pain,,,, Bloody Mucus
CAUSED_BY, Extreme Bloating,,,, Leptin Resistance
CAUSED_BY, Anxiety,,,, Fasting Glucose
CAUSED_BY, Nausea,,,, 7 Lbs
CAUSED_BY, Nausea,,,,8.7
CAUSED_BY, Whole Body Aches,,,,5.7
CAUSED_BY, Side Effects,,,,8
CAUSED_BY, Panic Attack,,,, Vacation
CAUSED_BY, Panic Attack,,,, Tlkr Surgery
CAUSED_BY, Panic Attack,,,, Ecg Results
CAUSED_BY, Side Effects,,,, 6Kg
CAUSED_BY, Exhaustion,,,, Weslaco
CAUSED_BY, Discouragement,,,, Mcallen
CAUSED_BY, Stomach_Pains,,,, Supermarket
CAUSED_BY, Anxiety,,,, Advice
CAUSED_BY, Ozempic,,,, Support_Group
CAUSED_SICKNESS,0.5,,,, Maintenance
CAUSED_SICKNESS,0.5,,,, Licensed Dietitian
CAUSED_SYMPTOM, Abdominal Pain,,,,30
CAUSED_SYMPTOM, Diarrhea,,,, Sugar Craving
CAUSED_SYMPTOM, Vomiting,,,, Life Worth Living
CAUSED_SYMPTOM, Dizziness,,,,270
CAUSED_SYMPTOM, Fatigue,,,, 275Lbs
CAUSED_SYMPTOM, Sick,,,, Diabetic
CAUSED_SYMPTOM, Throw Up,,,, March
CAUSED_SYMPTOM, Nausea,,,, Month And A Half
CAUSED_SYMPTOM, Diarrhea,,,, Home
CAUSED_SYMPTOM, Severe Side Effects,,,, Bloodpressure
CAUSED_SYMPTOM, Abdominal Pain,,,,6:30 AM
CAUSED_SYMPTOM, Diarrhea,,,, 9 Months
CAUSED_SYMPTOM, Vomiting,,,, Country
CAUSED_SYMPTOM, Dizziness,,,, Nausea_Meds
CAUSED_SYMPTOM, Fatigue,,,, Clinic
CAUSED_SYMPTOM, Sick,,,, Blood Work
CAUSED_SYMPTOM, Throw Up,,,, Stool Tests
CAUSED_SYMPTOM, Nausea,,,, Scope
CAUSED_SYMPTOM, Diarrhea,,,, 4 Months
CAUSED_SYMPTOM, Severe Side Effects,,,, Children
CAUSED_SYMPTOMS, Symptoms,,,, Day 1
CAUSED_SYMPTOMS, Symptoms,,,, University
CAUSED_SYMPTOMS, Symptoms,,,, Holiday
CAUSED_SYMPTOMS, Symptoms,,,, Amazon
CAUSED_UNAVAILABILITY, Ozempic,,,, Nile Cruise
CAUSED_UNAVAILABILITY, Ozempic,,,, Trials
CAUSED_WEIGHT_GAIN, Weight Of 199,,,, Figure Competitions
CAUSED_WEIGHT_GAIN, Weight Of 199,,,, Er Visit
CAUSES, Weight Loss,,,, Son
CAUSES, Diarrhoea,,,, Cruise
CAUSES, Nausea,,,, Alcohol Consumption
CAUSES, Weight_Loss,,,, Kickboard Swimming
CAUSES, Gastrointestinal Issues,,,, Couch To 5K Program
CAUSES, Diarrhea,,,, Wedding
CAUSES, Vomiting,,,, Grocery_Shopping
CAUSES, Constipation,,,, Meal_Preparation
CAUSES, Bloated,,,, Weight Loss Program
CAUSES, Sulfur Burps,,,, Produce
CAUSES, Bathroom Trips,,,, Glycemie Check
CAUSES, Nauseous,,,, Lifting Weights
CAUSES, Hospital,,,, Physical Disability
CAUSES, Projectile Vomiting,,,, Break
CAUSES, Loss Of Appetite,,,, 14 From 365 To 265
CAUSES, Stomach Pains,,,, Breastfeeding
CAUSES, Dizziness,,,, Europe_Trip
CAUSES, Headaches,,,, Appealprocess
CAUSES, Fatigue,,,,0.4
CAUSES, Acid Reflux,,,,COMPARISON
CAUSES, Burning Sternum,,,, Portion Control
CAUSES, Low Appetite,,,, Weightlifting
CAUSES, Heartburn,,,, Running
CAUSES, Panic Attack,,,, Diet Mindfulness
CAUSES, Exhaustion,,,, Daughter
CAUSES, Upper Left Stomach Pain,,,, Wl
CAUSES, Hair Shedding,,,, Week 2
CAUSES, Extreme Shedding,,,, Lexapro
CAUSES, Tiredness,,,, Ozempic 0.25Mg
CAUSES, Grouchy,,,, Metamucil
CAUSES, Grumpy,,,, Stomach Medication
CAUSES, Bleeding,,,, Bloodpressuremedicine
CAUSES, Severe Stomach Pain,,,, Zoloft
CAUSES, Gassiness,,,, Cardiologist
CAUSES, Reflux,,,, Pnp
CAUSES, Bone Ache,,,, Munjaro
CAUSES, Energy_Loss,,,,1/4/23
CAUSES, Starvation Mode,,,, Tresiba
CAUSES, Vomit,,,, Humalog
CAUSES, Side_Effects,,,, Ozempic Pap
CAUSES, Bedridden,,,, Other Meds
CAUSES, Weakness,,,,February 2022
CAUSES, Weight_Gain,,,,203
CAUSES, Heavy Period,,,, Nutrition
CAUSES, Dehydration,,,, Self
CAUSES, Miserable_Feeling,,,, Hunger Reduction
CAUSES, Nausea,,,,189
CAUSES, Vomiting,,,, Positivity
CAUSES, Nausea,,,, Iv
CAUSES, Diarrhea,,,, Samples
CAUSES, Vomiting,,,, Support
CAUSES, Weight Gain 53Lbs,,,, Customer_Support_Agent
CAUSES, Cold Hands And Feet,,,, Canadian_Pharmacy
CAUSES, Numbness,,,, Foundation Year Undergraduate Degree
CAUSES, Trembling,,,, Health Journey
CAUSES, Weight Gain,,,, Phentermine
CAUSES, Dizziness,,,, Farxiga
CAUSES, Bedridden,,,, Topiramate
CAUSES, Suffering,,,, Caffeine
CAUSES, Walking Difficulty,,,, Nicotine
CAUSES, Side_Effects,,,, Recommendations
CAUSES, Fatigue,,,, Iv Fluids
CAUSES, Depression,,,, Weight Loss Of 30 Pounds
CAUSES, Dizziness,,,, D3
CAUSES, Fatigue,,,, B
CAUSES, Headache,,,, 0.5Ml Dose
CAUSES, Bleeding,,,, Miralax
CAUSES, Constipation,,,, Acid Reducers
CAUSES, Memory Loss,,,, 2 .5 Doses
CAUSES, Diarrhea,,,, Stopping Altogether
CAUSES, Vomiting,,,, Weight Loss Specialist
CAUSES, Appetite Loss,,,, Physical_Therapy
CAUSES, Weight Gain,,,, Fda
CAUSES, Blood Loss,,,, Hair_Loss
CAUSES, Weight Loss,,,, Numbness In Hands
CAUSES, Diarrhoea,,,, Fetal Issues
CAUSES, Nausea,,,, Ibs
CAUSES, Weight_Loss,,,, Hiatal Hernia
CAUSES, Gastrointestinal Issues,,,, Eating
CAUSES, Diarrhea,,,, Lightheadedness
CAUSES, Vomiting,,,, Type Ii Diabetes
CAUSES, Constipation,,,, Stomach Flu
CAUSES, Bloated,,,, Stomach Bug
CAUSES, Sulfur Burps,,,, Greasy Food
CAUSES, Bathroom Trips,,,, Pre_Diabetes
CAUSES, Nauseous,,,, Vomit Burps
CAUSES, Hospital,,,, Upset Stomach
CAUSES, Projectile Vomiting,,,, Loose Bowels
CAUSES, Loss Of Appetite,,,, Sinus Arrhythmia
CAUSES, Stomach Pains,,,, Experience
CAUSES, Dizziness,,,, Trying To Conceive
CAUSES, Headaches,,,, Endo Appointment
CAUSES, Fatigue,,,, Ivf Transfer
CAUSES, Acid Reflux,,,, Sw 238
CAUSES, Burning Sternum,,,, Ce 227
CAUSES, Low Appetite,,,, Therapy
CAUSES, Heartburn,,,, Long Flight
CAUSES, Panic Attack,,,, Urge To Eat More Before Period
CAUSES, Exhaustion,,,, Weight Plateau
CAUSES, Upper Left Stomach Pain,,,, Lifestyle Changes
CAUSES, Hair Shedding,,,, Insurance Coverage
